r_fighter,b_fighter,date,referee,winner,r_record,r_losses,r_draws,r_wins,r_winsbydecisionmajority,r_winsbydecisionmajority,r_winsbydecisionunanimous,r_winsbydecisionunanimous,r_winsbydecisionsplit,r_winsbyko,r_winsbysubmission,r_winsbytkodoctorstoppage,b_record,b_losses,b_draws,b_wins,b_winsbydecisionmajority,b_winsbydecisionmajority,b_winsbydecisionunanimous,b_winsbydecisionunanimous,b_winsbydecisionsplit,b_winsbyko,b_winsbysubmission,b_winsbytkodoctorstoppage,r_avgkd,r_avgsigstratt,r_avgsigstrlanded,r_avgtdatt,r_avgtdlanded,r_avgsubatt,r_avgctrltime(seconds),b_avgkd,b_avgsigstratt,b_avgsigstrlanded,b_avgtdatt,b_avgtdlanded,b_avgsubatt,b_avgctrltime(seconds)
Ben Rothwell,Gilbert Yvel,2010-06-12,Yves Lavigne,Red,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0
Carlos Condit,Rory MacDonald,2010-06-12,Kevin Dornan,Red,1-1-0,1,0,1,0,0,0,0,1,0,0,0,1-0-0,0,0,1,0,0,0,0,0,0,1,0,0.0,78.0,31.0,3.0,2.0,2.0,214.0,0.0,19.0,8.0,3.0,2.0,2.0,170.0
Chuck Liddell,Rich Franklin,2010-06-12,Herb Dean,Blue,16-6-0,6,0,16,0,0,6,6,0,9,0,1,12-4-0,4,0,12,0,0,3,3,0,7,1,1,0.04,64.76,16.95,0.75,0.75,0.0,20.81,0.1,71.24,26.18,1.06,0.28,0.0,39.85
David Loiseau,Mario Miranda,2010-06-12,Tony Williamson,Blue,4-4-0,4,0,4,0,0,0,0,0,2,0,2,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0.19,38.67,16.73,0.41,0.38,0.02,72.15,1.0,40.0,16.0,0.0,0.0,0.0,40.0
James Wilks,Peter Sobotta,2010-06-12,Kevin Dornan,Red,1-1-0,1,0,1,0,0,0,0,0,0,1,0,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0.0,41.0,18.0,6.0,1.5,5.5,253.5,0.0,39.0,18.0,7.0,2.0,0.0,128.0
Mac Danzig,Matt Wiman,2010-06-12,Yves Lavigne,Blue,3-3-0,3,0,3,0,0,1,1,0,0,2,0,5-3-0,3,0,5,0,0,2,2,0,2,1,0,0.16,95.44,44.12,3.41,1.62,0.34,185.66,0.06,102.5,43.98,6.03,2.36,0.69,264.69
Mike Pyle,Jesse Lennox,2010-06-12,Kevin Dornan,Red,1-2-0,2,0,1,0,0,0,0,0,0,1,0,1-1-0,1,0,1,0,0,0,0,0,0,0,1,0.0,15.25,5.75,2.0,0.5,1.0,94.0,0.0,121.0,29.5,2.0,1.0,0.5,65.0
Mirko Cro Cop,Pat Barry,2010-06-12,Yves Lavigne,Red,3-3-0,3,0,3,0,0,0,0,0,2,0,1,2-1-0,1,0,2,0,0,0,0,0,2,0,0,0.16,51.5,23.59,0.44,0.19,0.5,122.72,0.5,38.0,16.75,0.0,0.0,0.0,44.25
Paulo Thiago,Martin Kampmann,2010-06-12,Herb Dean,Blue,3-1-0,1,0,3,0,0,1,1,0,1,1,0,7-2-0,2,0,7,0,0,1,1,1,1,4,0,1.12,36.12,14.5,1.25,0.5,1.12,108.12,0.57,38.12,15.99,1.21,0.65,1.42,131.29
Ricardo Funch,Claude Patrick,2010-06-12,Tony Williamson,Blue,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.0,16.0,6.0,1.0,0.0,130.0,,,,,,,
