finish,finishdetails,winner,finishround,totalfighttimesecs
KO/TKO,Kick,Red,2.0,567.0
KO/TKO,Knee,Red,1.0,111.0
SUB,Guillotine Choke,Blue,1.0,183.0
SUB,Kneebar,Red,1.0,156.0
SUB,Rear Naked Choke,Red,2.0,506.0
SUB,Arm Triangle,Blue,2.0,498.0
SUB,Rear Naked Choke,Red,1.0,88.0
KO/TKO,Punches,Blue,2.0,370.0
SUB,Rear Naked Choke,Blue,1.0,80.0
KO/TKO,Punch,Red,1.0,74.0
KO/TKO,Kick,Blue,1.0,246.0
KO/TKO,Punches,Red,1.0,22.0
SUB,Rear Naked Choke,Blue,1.0,257.0
SUB,Rear Naked Choke,Red,1.0,162.0
KO/TKO,Punch,Red,1.0,32.0
SUB,Rear Naked Choke,Blue,3.0,876.0
KO/TKO,Punches,Blue,1.0,41.0
SUB,Armbar,Red,1.0,145.0
KO/TKO,Punches,Red,2.0,590.0
SUB,Arm Triangle,Blue,3.0,824.0
SUB,Armbar,Red,3.0,746.0
SUB,Guillotine Choke,Blue,3.0,773.0
SUB,D'Arce Choke,Blue,3.0,764.0
SUB,Armbar,Red,1.0,141.0
SUB,Anaconda Choke,Red,1.0,195.0
KO/TKO,Punch,Blue,3.0,758.0
KO/TKO,Punches,Red,5.0,1404.0
KO/TKO,Punch,Blue,2.0,349.0
SUB,Armbar,Blue,1.0,163.0
SUB,D'Arce Choke,Blue,2.0,372.0
SUB,Kneebar,Red,1.0,88.0
SUB,Heel Hook,Red,1.0,78.0
SUB,Guillotine Choke,Blue,1.0,145.0
SUB,Triangle Choke,Blue,1.0,282.0
KO/TKO,Kick,Red,1.0,255.0
SUB,Armbar,Red,1.0,150.0
KO/TKO,Punch,Red,3.0,450.0
KO/TKO,Punches,Red,1.0,189.0
SUB,Rear Naked Choke,Blue,1.0,168.0
SUB,Triangle Choke,Red,1.0,126.0
KO/TKO,Punches,Red,3.0,626.0
KO/TKO,Knee,Blue,3.0,657.0
KO/TKO,Knee,Red,2.0,596.0
U-DEC,,Blue,,
KO/TKO,Knee,Red,,
SUB,Armbar,Blue,,
KO/TKO,Elbows,Blue,,
KO/TKO,Punch,Blue,,
U-DEC,,Red,,
SUB,Rear Naked Choke,Blue,,
KO/TKO,Punches,Red,,
KO/TKO,,Blue,,
KO/TKO,Elbow,Blue,,
KO/TKO,Punches,Blue,,
S-DEC,,Blue,,
SUB,Rear Naked Choke,Red,1.0,218.0
SUB,,Blue,3.0,900.0
SUB,Armbar,Red,1.0,113.0
SUB,Guillotine Choke,Red,2.0,407.0
KO/TKO,,Red,,
SUB,,Red,,
SUB,,Blue,,
S-DEC,,Red,,
M-DEC,,Red,,
DQ,,Blue,,
