r_fighter,gender,weightclass,r_age,r_stance,r_heightcms,r_reachcms,r_weightlbs,r_record,r_losses,r_draws,r_wins,r_winbydecisionmajority,r_winbydecisionunanimous,r_winsbydecisionmajority,r_winsbydecisionsplit,r_winsbydecisionunanimous,r_winsbyko,r_winsbysubmission,r_winsbytkodoctorstoppage,r_matchwcrank,r_pfprank
Luke Rockhold,MALE,Middleweight,31.0,Southpaw,190.5,195.58,185.0,5.0-1.0-0.0,1.0,0.0,5.0,0.0,0.0,0.0,,0.0,2.0,3.0,0.0,0.0,3.0
Max Holloway,MALE,Featherweight,24.0,Orthodox,180.34,175.26,155.0,11.0-3.0-0.0,3.0,0.0,11.0,0.0,3.0,0.0,,3.0,5.0,2.0,0.0,4.0,
Polo Reyes,MALE,Lightweight,31.0,Orthodox,180.34,180.34,155.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Sean Strickland,MALE,Welterweight,25.0,Orthodox,185.42,193.04,170.0,4.0-1.0-0.0,1.0,0.0,4.0,0.0,1.0,0.0,,1.0,1.0,1.0,0.0,,
Ali Bagautinov,MALE,Flyweight,31.0,Orthodox,162.56,165.1,125.0,3.0-2.0-0.0,2.0,0.0,3.0,0.0,2.0,0.0,,2.0,1.0,0.0,0.0,10.0,
Chris Beal,MALE,Bantamweight,30.0,Orthodox,170.18,175.26,125.0,2.0-2.0-0.0,2.0,0.0,2.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,
Colby Covington,MALE,Welterweight,28.0,Orthodox,180.34,182.88,170.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,1.0,0.0,,1.0,1.0,1.0,0.0,,
Donald Cerrone,MALE,Welterweight,33.0,Orthodox,185.42,185.42,155.0,16.0-4.0-0.0,4.0,0.0,16.0,0.0,6.0,0.0,,6.0,5.0,5.0,0.0,,
Elias Theodorou,MALE,Middleweight,28.0,Orthodox,185.42,190.5,185.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,1.0,0.0,,1.0,2.0,0.0,0.0,,
Jason Saggo,MALE,Lightweight,30.0,Orthodox,180.34,180.34,155.0,2.0-1.0-0.0,1.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,,
Misha Cirkunov,MALE,Light Heavyweight,29.0,Orthodox,190.5,195.58,205.0,2.0-0.0-0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,,
Olivier Aubin-Mercier,MALE,Lightweight,27.0,Southpaw,175.26,177.8,155.0,3.0-2.0-0.0,2.0,0.0,3.0,0.0,1.0,0.0,,1.0,0.0,2.0,0.0,,
Randa Markos,FEMALE,Women's Strawweight,30.0,Orthodox,162.56,160.02,115.0,1.0-2.0-0.0,2.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,14.0,
Rory MacDonald,MALE,Welterweight,26.0,Orthodox,182.88,193.04,170.0,9.0-3.0-0.0,3.0,0.0,9.0,0.0,5.0,0.0,,5.0,3.0,1.0,0.0,1.0,
Steve Bosse,MALE,Light Heavyweight,34.0,Orthodox,180.34,182.88,205.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Tamdan McCrory,MALE,Middleweight,29.0,Switch,193.04,198.12,185.0,4.0-3.0-0.0,3.0,0.0,4.0,0.0,1.0,0.0,,1.0,1.0,2.0,0.0,,
Valerie Letourneau,FEMALE,Women's Flyweight,33.0,Orthodox,170.18,172.72,115.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,,
Alan Jouban,MALE,Welterweight,34.0,Southpaw,182.88,185.42,170.0,4.0-2.0-0.0,2.0,0.0,4.0,0.0,1.0,0.0,,1.0,3.0,0.0,0.0,,
Anthony Birchak,MALE,Bantamweight,30.0,Orthodox,172.72,175.26,135.0,1.0-2.0-0.0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Felipe Arantes,MALE,Bantamweight,28.0,Orthodox,172.72,185.42,135.0,4.0-4.0-0.0,4.0,0.0,4.0,0.0,2.0,0.0,,2.0,1.0,1.0,0.0,,
Gilbert Burns,MALE,Lightweight,29.0,Orthodox,177.8,180.34,155.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,1.0,0.0,,1.0,0.0,2.0,0.0,,
Joe Duffy,MALE,Lightweight,28.0,Orthodox,177.8,185.42,155.0,2.0-1.0-0.0,1.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,,
John Makdessi,MALE,Lightweight,31.0,Orthodox,172.72,172.72,155.0,6.0-5.0-0.0,5.0,0.0,6.0,0.0,3.0,0.0,,3.0,3.0,0.0,0.0,,
Marco Beltran,MALE,Bantamweight,30.0,Orthodox,172.72,175.26,125.0,2.0-0.0-0.0,0.0,0.0,2.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Mike Pyle,MALE,Welterweight,40.0,Orthodox,182.88,187.96,170.0,10.0-6.0-0.0,6.0,0.0,10.0,0.0,2.0,0.0,,2.0,5.0,2.0,0.0,,
Rafael Dos Anjos,MALE,Lightweight,31.0,Southpaw,172.72,177.8,170.0,14.0-5.0-0.0,5.0,0.0,14.0,0.0,8.0,0.0,,8.0,4.0,2.0,0.0,0.0,5.0
Roy Nelson,MALE,Heavyweight,40.0,Orthodox,182.88,182.88,263.0,8.0-8.0-0.0,8.0,0.0,8.0,0.0,1.0,0.0,,1.0,7.0,0.0,0.0,10.0,
Russell Doane,MALE,Bantamweight,29.0,Orthodox,170.18,177.8,135.0,2.0-2.0-0.0,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Vincente Luque,MALE,Welterweight,24.0,Orthodox,180.34,190.5,170.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Andrew Sanchez,MALE,Light Heavyweight,28.0,Orthodox,185.42,187.96,185.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Cezar Ferreira,MALE,Middleweight,31.0,Southpaw,185.42,198.12,185.0,5.0-3.0-0.0,3.0,0.0,5.0,0.0,3.0,0.0,,3.0,0.0,1.0,0.0,,
Cory Hendricks,MALE,Light Heavyweight,28.0,Orthodox,190.5,196.0,205.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Dooho Choi,MALE,Featherweight,25.0,Orthodox,177.8,177.8,145.0,2.0-0.0-0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,,
Gray Maynard,MALE,Featherweight,37.0,Orthodox,175.26,177.8,155.0,9.0-7.0-0.0,7.0,0.0,9.0,0.0,5.0,0.0,,5.0,1.0,0.0,0.0,,
Jake Matthews,MALE,Lightweight,21.0,Orthodox,180.34,185.42,170.0,4.0-1.0-0.0,1.0,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,3.0,1.0,,
Joanna Jedrzejczyk,FEMALE,Women's Strawweight,28.0,Orthodox,167.64,165.1,125.0,5.0-0.0-0.0,0.0,0.0,5.0,0.0,2.0,0.0,,2.0,2.0,0.0,0.0,0.0,12.0
Joaquim Silva,MALE,Lightweight,27.0,Orthodox,172.72,175.26,155.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
John Moraga,MALE,Flyweight,32.0,Orthodox,167.64,167.64,125.0,5.0-3.0-0.0,3.0,0.0,5.0,0.0,0.0,0.0,,0.0,1.0,3.0,0.0,6.0,
Li Jingliang,MALE,Welterweight,28.0,Orthodox,182.88,180.34,170.0,2.0-2.0-0.0,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Ross Pearson,MALE,Lightweight,31.0,Orthodox,172.72,175.26,155.0,11.0-8.0-0.0,8.0,0.0,11.0,0.0,4.0,0.0,,4.0,4.0,0.0,1.0,,
Tatiana Suarez,FEMALE,Women's Strawweight,25.0,Southpaw,165.1,167.64,115.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Cain Velasquez,MALE,Heavyweight,33.0,Orthodox,185.42,195.58,240.0,11.0-2.0-0.0,2.0,0.0,11.0,0.0,2.0,0.0,,2.0,9.0,0.0,0.0,2.0,
Cat Zingano,FEMALE,Women's Bantamweight,34.0,Southpaw,167.64,172.72,145.0,2.0-1.0-0.0,1.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,3.0,
Daniel Cormier,MALE,Light Heavyweight,37.0,Orthodox,180.34,182.88,235.0,6.0-1.0-0.0,1.0,0.0,6.0,0.0,2.0,0.0,,2.0,1.0,2.0,0.0,0.0,7.0
Diego Sanchez,MALE,Lightweight,34.0,Southpaw,177.8,182.88,170.0,15.0-8.0-0.0,8.0,0.0,15.0,0.0,7.0,0.0,,7.0,5.0,0.0,0.0,,
Gegard Mousasi,MALE,Middleweight,30.0,Orthodox,187.96,193.04,185.0,5.0-3.0-0.0,3.0,0.0,5.0,0.0,3.0,0.0,,3.0,1.0,1.0,0.0,8.0,
Jim Miller,MALE,Lightweight,32.0,Southpaw,172.72,180.34,155.0,14.0-8.0-0.0,8.0,0.0,14.0,0.0,5.0,0.0,,5.0,2.0,6.0,0.0,,
Johny Hendricks,MALE,Welterweight,32.0,Southpaw,175.26,175.26,185.0,12.0-4.0-0.0,4.0,0.0,12.0,1.0,4.0,1.0,,4.0,5.0,0.0,0.0,6.0,
Jose Aldo,MALE,Featherweight,29.0,Orthodox,170.18,177.8,145.0,7.0-1.0-0.0,1.0,0.0,7.0,0.0,5.0,0.0,,5.0,2.0,0.0,0.0,1.0,8.0
Miesha Tate,FEMALE,Women's Bantamweight,29.0,Orthodox,167.64,165.1,135.0,5.0-2.0-0.0,2.0,0.0,5.0,1.0,3.0,1.0,,3.0,0.0,1.0,0.0,0.0,
Sage Northcutt,MALE,Lightweight,20.0,Orthodox,182.88,180.34,170.0,2.0-1.0-0.0,1.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,,
TJ Dillashaw,MALE,Bantamweight,30.0,Orthodox,167.64,170.18,125.0,8.0-3.0-0.0,3.0,0.0,8.0,0.0,2.0,0.0,,2.0,5.0,1.0,0.0,1.0,
Aleksei Oleinik,MALE,Heavyweight,39.0,Orthodox,187.96,203.2,240.0,2.0-0.0-0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,,
Cortney Casey,FEMALE,Women's Strawweight,29.0,Orthodox,170.18,170.18,115.0,0.0-2.0-0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Devin Clark,MALE,Middleweight,26.0,Orthodox,182.88,190.5,205.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Eric Spicely,MALE,Middleweight,29.0,Orthodox,185.42,185.42,185.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Kyle Noke,MALE,Welterweight,36.0,Southpaw,185.42,193.04,170.0,6.0-4.0-0.0,4.0,0.0,6.0,0.0,0.0,0.0,,0.0,3.0,2.0,0.0,,
Lauren Murphy,FEMALE,Women's Bantamweight,32.0,Orthodox,170.18,170.18,125.0,1.0-2.0-0.0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,13.0,
Louis Smolka,MALE,Flyweight,24.0,Orthodox,175.26,172.72,135.0,4.0-1.0-0.0,1.0,0.0,4.0,0.0,2.0,0.0,,2.0,1.0,1.0,0.0,12.0,
Michael McDonald,MALE,Bantamweight,25.0,Orthodox,175.26,177.8,135.0,6.0-2.0-0.0,2.0,0.0,6.0,0.0,1.0,0.0,,1.0,2.0,2.0,0.0,5.0,
Rani Yahya,MALE,Bantamweight,31.0,Orthodox,167.64,170.18,135.0,6.0-3.0-0.0,3.0,0.0,6.0,0.0,3.0,0.0,,3.0,0.0,2.0,0.0,,
Scott Holtzman,MALE,Lightweight,32.0,Orthodox,175.26,175.26,155.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Tim Boetsch,MALE,Middleweight,35.0,Orthodox,182.88,187.96,185.0,9.0-9.0-0.0,9.0,0.0,9.0,0.0,3.0,0.0,,3.0,4.0,0.0,0.0,,
Tony Ferguson,MALE,Lightweight,32.0,Orthodox,180.34,193.04,155.0,10.0-1.0-0.0,1.0,0.0,10.0,0.0,2.0,0.0,,2.0,2.0,4.0,1.0,3.0,
Alex Oliveira,MALE,Welterweight,28.0,Orthodox,180.34,193.04,170.0,3.0-2.0-0.0,2.0,0.0,3.0,0.0,1.0,0.0,,1.0,1.0,1.0,0.0,,
Darren Elkins,MALE,Featherweight,32.0,Orthodox,177.8,180.34,145.0,10.0-4.0-0.0,4.0,0.0,10.0,0.0,7.0,0.0,,7.0,2.0,0.0,0.0,12.0,
Edson Barboza,MALE,Lightweight,30.0,Orthodox,180.34,190.5,155.0,11.0-4.0-0.0,4.0,0.0,11.0,1.0,4.0,1.0,,4.0,5.0,0.0,0.0,6.0,
Felice Herrig,FEMALE,Women's Strawweight,31.0,Orthodox,162.56,165.1,115.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Francis Ngannou,MALE,Heavyweight,29.0,Orthodox,193.04,210.82,250.0,2.0-0.0-0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,,
Frankie Saenz,MALE,Bantamweight,35.0,Orthodox,167.64,167.64,135.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,12.0,
Holly Holm,FEMALE,Women's Bantamweight,34.0,Southpaw,172.72,175.26,145.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,2.0,
Jim Alers,MALE,Featherweight,29.0,Orthodox,175.26,180.34,145.0,1.0-2.0-0.0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Kamaru Usman,MALE,Welterweight,29.0,Switch,182.88,193.04,170.0,2.0-0.0-0.0,0.0,0.0,2.0,0.0,1.0,0.0,,1.0,0.0,1.0,0.0,,
Luis Henrique,MALE,Heavyweight,22.0,Orthodox,187.96,187.96,243.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Michel Prazeres,MALE,Lightweight,34.0,Orthodox,167.64,170.18,170.0,3.0-2.0-0.0,2.0,0.0,3.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Anthony Hamilton,MALE,Heavyweight,36.0,Orthodox,195.58,193.04,260.0,2.0-3.0-0.0,3.0,0.0,2.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,
Cesar Arzamendia,MALE,Lightweight,25.0,Orthodox,180.34,180.34,155.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Francisco Rivera,MALE,Bantamweight,34.0,Orthodox,172.72,172.72,135.0,4.0-6.0-0.0,6.0,0.0,4.0,0.0,1.0,0.0,,1.0,3.0,0.0,0.0,,
Matt Brown,MALE,Welterweight,35.0,Orthodox,182.88,190.5,170.0,13.0-8.0-0.0,8.0,0.0,13.0,0.0,2.0,0.0,,2.0,9.0,2.0,0.0,9.0,
Nikita Krylov,MALE,Light Heavyweight,24.0,Orthodox,190.5,195.58,205.0,5.0-2.0-0.0,2.0,0.0,5.0,0.0,0.0,0.0,,0.0,2.0,3.0,0.0,11.0,
Robbie Lawler,MALE,Welterweight,34.0,Southpaw,180.34,187.96,170.0,12.0-4.0-0.0,4.0,0.0,12.0,0.0,3.0,0.0,,3.0,6.0,0.0,0.0,0.0,4.0
Rose Namajunas,FEMALE,Women's Strawweight,24.0,Orthodox,165.1,165.1,115.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,1.0,0.0,,1.0,0.0,2.0,0.0,3.0,
Ross Pearson,MALE,Welterweight,31.0,Orthodox,172.72,175.26,155.0,11.0-9.0-0.0,9.0,0.0,11.0,0.0,4.0,0.0,,4.0,4.0,0.0,1.0,,
Ryan Benoit,MALE,Flyweight,26.0,Orthodox,165.1,172.72,125.0,1.0-2.0-0.0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Wilson Reis,MALE,Flyweight,31.0,Southpaw,162.56,165.1,125.0,4.0-2.0-0.0,2.0,0.0,4.0,0.0,3.0,0.0,,3.0,0.0,1.0,0.0,7.0,
Chase Sherman,MALE,Heavyweight,26.0,Orthodox,193.04,198.12,250.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Court McGee,MALE,Welterweight,31.0,Orthodox,180.34,190.5,170.0,6.0-4.0-0.0,4.0,0.0,6.0,0.0,3.0,0.0,,3.0,0.0,2.0,0.0,,
Cub Swanson,MALE,Featherweight,32.0,Orthodox,172.72,177.8,145.0,7.0-3.0-0.0,3.0,0.0,7.0,0.0,3.0,0.0,,3.0,4.0,0.0,0.0,5.0,
David Teymur,MALE,Lightweight,27.0,Southpaw,175.26,185.42,155.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Dennis Bermudez,MALE,Featherweight,29.0,Orthodox,167.64,167.64,155.0,8.0-3.0-0.0,3.0,0.0,8.0,0.0,3.0,0.0,,3.0,1.0,2.0,0.0,8.0,
Maryna Moroz,FEMALE,Women's Strawweight,24.0,Orthodox,170.18,170.18,125.0,2.0-1.0-0.0,1.0,0.0,2.0,0.0,1.0,0.0,,1.0,0.0,1.0,0.0,9.0,
Santiago Ponzinibbio,MALE,Welterweight,29.0,Orthodox,182.88,185.42,170.0,4.0-2.0-0.0,2.0,0.0,4.0,0.0,1.0,0.0,,1.0,3.0,0.0,0.0,,
Teruto Ishihara,MALE,Featherweight,25.0,Southpaw,170.18,175.26,135.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Thales Leites,MALE,Middleweight,34.0,Orthodox,185.42,198.12,185.0,10.0-5.0-0.0,5.0,0.0,10.0,0.0,3.0,0.0,,3.0,2.0,4.0,0.0,12.0,
Trevor Smith,MALE,Middleweight,35.0,Orthodox,190.5,190.5,185.0,3.0-3.0-0.0,3.0,0.0,3.0,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,,
Viktor Pesta,MALE,Heavyweight,26.0,Orthodox,190.5,195.58,240.0,1.0-2.0-0.0,2.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Yair Rodriguez,MALE,Featherweight,23.0,Orthodox,180.34,180.34,145.0,4.0-0.0-0.0,0.0,0.0,4.0,0.0,2.0,0.0,,2.0,1.0,0.0,0.0,13.0,
Alberto Uda,MALE,Middleweight,32.0,Orthodox,190.5,195.58,185.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Anthony Johnson,MALE,Light Heavyweight,32.0,Orthodox,187.96,198.12,205.0,12.0-5.0-0.0,5.0,0.0,12.0,0.0,2.0,0.0,,2.0,10.0,0.0,0.0,1.0,
Artem Lobov,MALE,Featherweight,30.0,Southpaw,175.26,165.1,145.0,0.0-2.0-0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Cody Garbrandt,MALE,Bantamweight,25.0,Orthodox,172.72,165.1,135.0,4.0-0.0-0.0,0.0,0.0,4.0,0.0,1.0,0.0,,1.0,3.0,0.0,0.0,8.0,
Colby Covington,MALE,Welterweight,28.0,Orthodox,180.34,182.88,170.0,4.0-1.0-0.0,1.0,0.0,4.0,0.0,1.0,0.0,,1.0,1.0,2.0,0.0,,
Hyun Gyu Lim,MALE,Welterweight,31.0,Orthodox,190.5,195.58,170.0,3.0-2.0-0.0,2.0,0.0,3.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,,
Nate Diaz,MALE,Welterweight,31.0,Southpaw,182.88,193.04,170.0,14.0-8.0-0.0,8.0,0.0,14.0,0.0,2.0,0.0,,2.0,2.0,9.0,0.0,,
Neil Magny,MALE,Welterweight,29.0,Orthodox,190.5,203.2,170.0,11.0-3.0-0.0,3.0,0.0,11.0,0.0,5.0,0.0,,5.0,4.0,1.0,0.0,7.0,
Randa Markos,FEMALE,Women's Strawweight,31.0,Orthodox,162.56,160.02,115.0,2.0-2.0-0.0,2.0,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,13.0,
Raquel Pennington,FEMALE,Women's Bantamweight,27.0,Orthodox,170.18,170.18,135.0,4.0-2.0-0.0,2.0,0.0,4.0,0.0,1.0,0.0,,1.0,0.0,2.0,0.0,8.0,
Rick Story,MALE,Welterweight,31.0,Southpaw,175.26,180.34,170.0,12.0-6.0-0.0,6.0,0.0,12.0,0.0,5.0,0.0,,5.0,2.0,2.0,0.0,9.0,
Tim Means,MALE,Welterweight,32.0,Orthodox,187.96,190.5,170.0,7.0-4.0-0.0,4.0,0.0,7.0,0.0,2.0,0.0,,2.0,3.0,1.0,0.0,,
Anthony Pettis,MALE,Featherweight,29.0,Orthodox,177.8,182.88,170.0,5.0-4.0-0.0,4.0,0.0,5.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,,
Chad Laprise,MALE,Lightweight,30.0,Orthodox,177.8,180.34,170.0,3.0-2.0-0.0,2.0,0.0,3.0,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,,
Demian Maia,MALE,Welterweight,38.0,Southpaw,185.42,182.88,170.0,17.0-6.0-0.0,6.0,0.0,17.0,0.0,8.0,0.0,,8.0,1.0,8.0,0.0,3.0,
Enrique Barzola,MALE,Featherweight,27.0,Switch,170.18,177.8,145.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Garreth McLellan,MALE,Middleweight,33.0,Southpaw,185.42,182.88,185.0,1.0-2.0-0.0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Jeremy Kennedy,MALE,Lightweight,23.0,Orthodox,180.34,180.34,145.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Joe Lauzon,MALE,Lightweight,32.0,Orthodox,177.8,180.34,155.0,13.0-8.0-0.0,8.0,0.0,13.0,0.0,1.0,0.0,,1.0,4.0,7.0,1.0,,
Paige VanZant,FEMALE,Women's Strawweight,22.0,Orthodox,162.56,165.1,115.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,1.0,0.0,,1.0,1.0,1.0,0.0,10.0,
Sam Alvey,MALE,Middleweight,30.0,Southpaw,187.96,190.5,205.0,4.0-3.0-0.0,3.0,0.0,4.0,0.0,0.0,0.0,,0.0,3.0,1.0,0.0,,
Shane Campbell,MALE,Lightweight,29.0,Orthodox,182.88,180.34,155.0,1.0-3.0-0.0,3.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Alexander Gustafsson,MALE,Light Heavyweight,29.0,Orthodox,195.58,200.66,205.0,8.0-4.0-0.0,4.0,0.0,8.0,0.0,2.0,0.0,,2.0,4.0,2.0,0.0,2.0,
Andrei Arlovski,MALE,Heavyweight,37.0,Orthodox,190.5,195.58,240.0,14.0-6.0-0.0,6.0,0.0,14.0,0.0,2.0,0.0,,2.0,9.0,2.0,0.0,6.0,
Ashlee Evans-Smith,FEMALE,Women's Bantamweight,29.0,Orthodox,172.72,170.18,125.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,13.0,
Jessin Ayari,MALE,Welterweight,24.0,Orthodox,182.88,185.42,155.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Nick Hein,MALE,Lightweight,32.0,Southpaw,167.64,167.64,155.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,3.0,0.0,,3.0,0.0,0.0,0.0,,
Peter Sobotta,MALE,Welterweight,29.0,Southpaw,182.88,190.5,170.0,2.0-4.0-0.0,4.0,0.0,2.0,0.0,1.0,0.0,,1.0,0.0,1.0,0.0,,
Rustam Khabilov,MALE,Lightweight,29.0,Orthodox,172.72,185.42,155.0,5.0-2.0-0.0,2.0,0.0,5.0,0.0,3.0,0.0,,3.0,1.0,0.0,1.0,,
Ryan Bader,MALE,Light Heavyweight,33.0,Orthodox,187.96,187.96,205.0,13.0-5.0-0.0,5.0,0.0,13.0,0.0,8.0,0.0,,8.0,3.0,1.0,0.0,4.0,
Scott Askham,MALE,Middleweight,28.0,Southpaw,190.5,190.5,185.0,2.0-2.0-0.0,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,,
Taylor Lapilus,MALE,Bantamweight,24.0,Southpaw,167.64,185.42,135.0,2.0-1.0-0.0,1.0,0.0,2.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,
Brad Tavares,MALE,Middleweight,28.0,Orthodox,185.42,187.96,185.0,8.0-4.0-0.0,4.0,0.0,8.0,0.0,6.0,0.0,,6.0,1.0,0.0,0.0,,
CM Punk,MALE,Welterweight,37.0,Orthodox,185.42,185.42,170.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Drew Dober,MALE,Lightweight,27.0,Southpaw,172.72,177.8,155.0,2.0-4.0-0.0,4.0,0.0,2.0,0.0,1.0,0.0,,1.0,0.0,1.0,0.0,,
Fabricio Werdum,MALE,Heavyweight,39.0,Orthodox,193.04,195.58,231.0,8.0-3.0-0.0,3.0,0.0,8.0,0.0,2.0,0.0,,2.0,4.0,2.0,0.0,1.0,
Jessica Andrade,FEMALE,Women's Strawweight,24.0,Orthodox,154.94,157.48,115.0,5.0-3.0-0.0,3.0,0.0,5.0,0.0,2.0,0.0,,2.0,1.0,1.0,0.0,6.0,
Jessica Eye,FEMALE,Women's Bantamweight,30.0,Orthodox,167.64,167.64,125.0,1.0-5.0-0.0,5.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,10.0,
Nik Lentz,MALE,Lightweight,32.0,Orthodox,172.72,172.72,155.0,10.0-6.0-0.0,6.0,0.0,10.0,0.0,6.0,0.0,,6.0,1.0,1.0,0.0,,
Stipe Miocic,MALE,Heavyweight,34.0,Orthodox,193.04,203.2,240.0,9.0-2.0-0.0,2.0,0.0,9.0,0.0,3.0,0.0,,3.0,6.0,0.0,0.0,0.0,8.0
Urijah Faber,MALE,Bantamweight,37.0,Orthodox,167.64,170.18,135.0,9.0-5.0-0.0,5.0,0.0,9.0,0.0,3.0,0.0,,3.0,0.0,6.0,0.0,2.0,
Yancy Medeiros,MALE,Welterweight,29.0,Orthodox,177.8,190.5,155.0,3.0-5.0-0.0,5.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,,
Antonio Carlos Junior,MALE,Middleweight,26.0,Orthodox,187.96,200.66,185.0,2.0-3.0-0.0,3.0,0.0,2.0,0.0,1.0,0.0,,1.0,0.0,1.0,0.0,,
Augusto Montano,MALE,Welterweight,31.0,Orthodox,185.42,185.42,170.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
